 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
SkillEffectDescription_ResupplyOverallUses,"<style=KeyWord>Gives back</style> <style=GoodNb>3</style> <style=UsePerNight>Use per night</style> to the target defense.
<style=Attenuated>Cannot overflow.</style>","<style=KeyWord>Rend</style> <style=GoodNb>3</style> <style=UsePerNight>utilisation par nuit</style> à la défense ciblée.
<style=Attenuated>Ne peut dépasser la valeur maximale de l'attribut.</style>","<style=KeyWord>补充</style>防御设施的<style=GoodNb>3次</style><style=UsePerNight>每晚使用次数</style>。
<style=Attenuated>不能超过</style>上限。","<style=KeyWord>補充</style>防禦設施的<style=GoodNb>3次</style><style=UsePerNight>每晚使用次數</style>。
<style=Attenuated>不能超過</style>上限。","対象防衛施設の<style=UsePerNight>夜間使用回数</style>を<style=GoodNb>3</style><style=KeyWord>回復する</style>。
<style=Attenuated>回数上限を超えることはない。</style>","<style=KeyWord>Восстанавливает</style> <style=GoodNb>3</style> <style=UsePerNight>заряд на ночь</style> выбранному защитному зданию.
<style=Attenuated>ВАЖНО: излишек зарядов будет потерян!</style>","<style=KeyWord>Повертає</style> <style=GoodNb>3</style> <style=UsePerNight>використання за ніч</style> до захисту цілі.
<style=Attenuated>Неможливо зробити більше максимуму.</style>","<style=KeyWord>Gibt</style> <style=GoodNb>3</style> <style=UsePerNight>Einsatz pro Nacht</style> an die Zielverteidigung zurück.
 <style=Attenuated>Kann nicht überlaufen.</style>","<style=KeyWord>Recupera</style> <style=GoodNb>3</style> <style=UsePerNight>uso por noche</style> de la defensa del objetivo.
<style=Attenuated>No puede sobrepasar el máximo.</style>","<style=KeyWord>Devolve</style> <style=GoodNb>3</style> <style=UsePerNight>Uso por noite</style> à defesa do alvo.
<style=Attenuated>Não excede o máximo.</style>","대상 방어 시설에 <style=UsePerNight>하룻밤 사용 횟수</style>를 <style=GoodNb>3</style>회만큼 <style=KeyWord>돌려줍니다</style>.
<style=Attenuated>최대치를 초과할 수 없습니다.</style>"
PerkName_FirstBlood,Cherry Picking,Tri sélectif,就是你了,就是你了,いいとこ取り,Враг одиночества,Вередливий,Wählerisch,Tiquismiquis,Escolhendo a Dedo,골라 먹기
PerkDescription_FirstBlood,"When <style=KeyWord>attacking</style> an <style=KeyWord>isolated</style> unit, the attack gets:
{0}.
{1}.","Lorsqu'une unité <style=KeyWord>isolée</style> est <style=KeyWord>attaquée</style>, l'attaque obtient<nbsp>:
{0}.
{1}.","当<style=KeyWord>攻击</style><style=KeyWord>落单</style>的敌人时，此次攻击获得：
{0}
{1}","當<style=KeyWord>攻擊</style><style=KeyWord>落單</style>的敵人時，此次攻擊獲得：
{0}
{1}","<style=KeyWord>孤立した</style>ユニットへ<style=KeyWord>攻撃</style>時、以下の効果を得る: {0}。
{1}。","Если цель <style=KeyWord>атаки</style> героя <style=KeyWord>изолирована</style>, атака получает бонус:
{0}.
{1}.","Під час <style=KeyWord>атаки</style> <style=KeyWord>відокремленого</style> монстра, атака отримує:
{0}.
{1}.","Beim <style=KeyWord>Angriff</style> auf einen <style=KeyWord>isolierte</style> Einheit, erhält der Angriff:
{0}.
{1}.","Al <style=KeyWord>atacar</style> a una unidad <style=KeyWord>aislada</style>, el ataque obtiene:
{0}.
{1}.","Quando <style=KeyWord>atacar</style> uma unidade <style=KeyWord>isolada</style>, o ataque recebe:
{0}.
{1}.","<style=KeyWord>고립</style> 상태인 유닛을 <style=KeyWord>공격</style>할 경우:
{0}
{1}"
PerkName_CherryPicking,First Blood,Premier sang,第一滴血,第一滴血,先制の血,Первая кровь,Перша кров,Erstschlag,Primera sangre,Sangue Fresco,선제 타격
PerkDescription_CherryPicking,"When <style=KeyWord>attacking</style> a unit with <style=KeyWord>full</style> {0}, the attack gets:
{1}.","Lorsqu'une unité avec toute sa {0} est <style=KeyWord>attaquée</style>, l'attaque obtient<nbsp>:
{1}.","当<style=KeyWord>攻击</style>{0}<style=KeyWord>为满</style>的敌人时，此次攻击获得：
{1}","當<style=KeyWord>攻擊</style>{0}<style=KeyWord>為滿</style>的敵人時，此次攻擊獲得：
{1}","{0}が<style=KeyWord>満タン</style>のユニットを<style=KeyWord>攻撃</style>時、その攻撃は以下の効果を得る:
{1}。","Если герой <style=KeyWord>атакует</style> существо, у которого {0} <style=KeyWord>на максимуме</style>, атака получает бонус:
{1}.","Під час <style=KeyWord>атаки</style> на монстра з <style=KeyWord>повним</style> значенням {0}, атака отримує:
{1}.","Beim <style=KeyWord>Angriff</style> auf eine Einheit mit <style=KeyWord>voller</style> {0}, erhält der Angriff:
{1}.","Al <style=KeyWord>atacar</style> a una unidad con {0} <style=KeyWord>al completo</style>, el ataque obtiene: 
{1}.","Quando <style=KeyWord>atacar</style> uma unidade com a {0} ainda <style=KeyWord>cheia</style>, o ataque recebe:
{1}.","<style=KeyWord>최대</style> {0} 상태인 유닛을 <style=KeyWord>공격할</style> 경우:
{1}"
PerkDescription_Initiator,"As long as the Hero <style=Bad>didn't</style> <style=KeyWord>kill</style> anything this turn:
{0}.
{1}.
{2}.
{3}.","Tant que le Héros <style=Bad>n'a pas</style> <style=KeyWord>tué</style> d'unité durant ce tour<nbsp>:
{0}.
{1}.
{2}.
{3}.","如果本回合内英雄<style=Bad>没有</style><style=KeyWord>击杀</style>任何单位：
{0}。
{1}。
{2}。
{3}。","當英雄此回合<style=Bad>沒有</style>任何<style=KeyWord>擊殺</style>時：
{0}。
{1}。
{2}。
{3}。","このターンで英雄が何も<style=KeyWord>撃破</style><style=Bad>しなかった</style>場合:
{0}。
{1}。
{2}。
{3}。","Пока герой <style=Bad>ещё не</style> <style=KeyWord>убил</style> никого в этот ход, он получает бонус:
{0}.
{1}.
{2}.
{3}.","Якщо герой упродовж цього ходу <style=Bad>не</style> <style=KeyWord>вбив</style> жодного ворога:
{0}.
{1}.
{2}.
{3}.","Solange der Held in dieser Runde noch <style=Bad>nicht</style> <style=KeyWord>getötet</style> hat:
{0}.
{1}.
{2}.
{3}.","Mientras el héroe <style=Bad>no</style> <style=KeyWord>mate</style> a nadie durante el turno:
{0}.
{1}.
{2}.
{0}.
{3}.","Desde que o Herói <style=Bad>não</style> <style=KeyWord>abata</style> ninguém neste turno:
{0}.
{1}.
{2}.
{3}.","영웅이 이번 턴에 아무도 <style=KeyWord>처치하지</style> <style=Bad>않은</style> 경우:
{0}
{1}
{2}
{3}"
PerkDescription_FieldStudy,"Increases <style=KeyWord>Maximum {0}</style> to {1}.
Every {2} units <style=KeyWord>killed</style> at a <style=KeyWord>distance of {3} or more:</style>
{4}.
{7}.
Increase the distance required by 1.
<style=Attenuated>This modifier is reset every morning.</style>","Augmente le <style=KeyWord>Maximum de {0}</style> à {1}.
Toutes les {2} unités <style=KeyWord>tuées</style> à une <style=KeyWord>distance de {3} ou plus</style><nbsp>:
{4}.
{7}.
Augmente la distance requise de 1.
<style=Attenuated> Ce modificateur est réinitialisé tous les matins.</style>","将<style=KeyWord>{0}上限</style>提升至{1}。
每<style=KeyWord>击杀</style>{2}个<style=KeyWord>距离{3}格或以外的单位：</style>
{4}。
{7}。
所需距离增加1格。
<style=Attenuated>此加成在每个白天重置。</style>","<style=KeyWord>{0}上限</style>提升到{1}。
每從距離<style=KeyWord>{3}格（含）以外的距離</style><style=KeyWord>擊殺</style>{2}個單位：
{4}。
{7}。
所需距離增加1格。
<style=Attenuated>此加成在每個白天重置。</style>","<style=KeyWord>最大{0}</style>が{1}に増加する。
<style=KeyWord>距離{3}以上</style>の{2}ユニットを<style=KeyWord>撃破</style>するたびに、以下の効果を得る:
{4}。
{7}。
必要距離が1増加する。
<style=Attenuated>この効果は毎朝リセットされる。</style>","<style=KeyWord>Макс. {0}</style> увеличивается до {1}.
За каждого {2}-го врага, <style=KeyWord>убитого</style> с <style=KeyWord>расстояния в {3} яч. или более, герой получает бонус:</style>
{4}.
{7}.
Необходимое расстояние увеличивается на 1.
<style=Attenuated>Эффект сбрасывается каждое утро.</style>","Збільшує <style=KeyWord>максимум {0}</style> до {1}.
Кож. {2} од. персонажів, <style=KeyWord>убитих</style> на <style=KeyWord>відстані {3} чи більше:</style>
{4}.
{7}.
Необхідна відстань збільшується на 1.
<style=Attenuated>Модифікатор скидається щоранку.</style>","<style=KeyWord>Max. {0}</style> auf {1} erhöht.
Für je {2} Einheiten, die auf eine <style=KeyWord>Entfernung von {3} oder mehr</style> <style=KeyWord>getötet</style> werden:</style>
{4}.
{7}.
Erhöht die erforderliche Entfernung um 1.
<style=Attenuated>Dieser Modifikator wird jeden Morgen zurückgesetzt.</style>","Aumenta el <style=KeyWord>máximo de {0}</style> a {1}.
Cada {2} unidades <style=KeyWord>eliminadas</style> a una <style=KeyWord>distancia de {3} o más:</style>
{4}.
{7}.
Aumenta la distancia requerida en 1.
<style=Attenuated>Este modificador se reinicia cada mañana.</style>","Aumenta <style=KeyWord>{0} Máx. </style> para {1}.
A cada {2} unidades <style=KeyWord>abatidas</style> a <style=KeyWord>{3} de distância ou mais:</style>
{4}.
{7}.
Aumenta a distância necessária em 1.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>","<style=KeyWord>최대 {0}</style> {1}(으)로 증가
<style=KeyWord>{3}타일 이상의 거리</style>에서 유닛을 {2}명 <style=KeyWord>처치</style>할 때마다:
{4}.
{7}.
필요한 거리가 1 증가합니다.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>"
PerkEffectInformations_FieldStudy,"{5}
{8}
Units to kill: {6}","{5}
{8}
Unités à tuer<nbsp>: {6}","{5}
{8}
需要击杀的单位数：{6}","{5}
{8}
需擊殺的單位：{6}","{5}
{8}
撃破するユニット: {6}","{5}
{8}
Ещё врагов до бонуса: {6}","{5}
{8}
Ще вбити ворогів: {6}","{5}
{8}
Noch zu tötende Einheiten: {6}","{5}
{8}
Unidades que matar: {6}","{5}
{8}
Unidades a serem abatidas: {6}.","{5}
{8}
처치할 유닛: {6}"
PerkDescription_ExplosiveAtoms,"When <style=KeyWord>attacking</style> with a <style=Mana>Mana-consuming</style> <style=""Skill"">skill</style>, the attack gets:
{0} <style=PerkDamage>Perk Damage</style>.","Lorsqu'une <style=""Skill"">compétence</style> qui <style=Mana>coûte du Mana</style> est utilisée pour <style=KeyWord>attaquer</style>, l'attaque obtient :
{0} de <style=PerkDamage>Dégâts de talent</style>.","当使用<style=Mana>消耗法力值</style>的<style=KeyWord>攻击</style><style=""Skill"">技能</style>时，此次攻击可获得：
{0}<style=PerkDamage>天赋伤害</style>","當使用<style=Mana>消耗法力值</style>的<style=KeyWord>攻擊</style><style=""Skill"">技能</style>時，此次攻擊可獲得：
{0}<style=PerkDamage>天賽傷害</style>","マナを消費する<style=""Skill"">スキル</style>で攻撃する際、攻撃に以下の効果を付与する:
{0}<style=PerkDamage>パークダメージ</style>。","Когда герой <style=KeyWord>атакует</style> цель <style=""Skill"">навыком</style>, <style=Mana>требующим маны</style>, он получает бонус к атаке:
{0} <style=PerkDamage>Урона от перка</style>.","Під час <style=KeyWord>атаки</style> <style=""Skill"">вмінням</style>, яке <style=Mana>потребує мани</style>, атака отримує:
{0} <style=PerkDamage>Шкоди від перка</style>.","Beim <style=KeyWord>Angriff</style> mit einer <style=Mana>manaverbrauchenden</style><style=""Skill""> Fähigkeit erhalte:
{0} <style=PerkDamage>Perk-Schaden</style>.","Al <style=KeyWord>atacar</style> con una <style=""Skill"">habilidad</style> que <style=Mana>consume maná</style>, el ataque obtiene:
{0} de <style=PerkDamage>Daño de beneficio</style>.","Quando <style=KeyWord>atacar</style> com uma <style=""Skill"">habilidade</style> que <style=Mana>consome Mana</style>, o ataque recebe:
{0} de <style=PerkDamage>Dano de Vantagem</style>.
{0}.","<style=Mana>마나 소모</style> <style=""Skill"">스킬</style>로 <style=KeyWord>공격</style>할 경우:
{0}"
PerkDescription_ThirdEye,"Every {0} enemies <style=KeyWord>hit</style>, the next <style=""Skill"">skill</style> gets:
{1}, 
{2}, 
{4}.
<style=Attenuated>This modifier doesn't stack.</style>","Tous les {0} ennemis <style=KeyWord>touchés</style>, la prochaine <style=""Skill"">compétence</style> obtient<nbsp>:
{1}, 
{2}, 
{4}.
<style=Attenuated>Ce modificateur n'est pas cumulable.</style>","每<style=KeyWord>击中</style>{0}个敌人，下一次使用<style=""Skill"">技能</style>时获得效果：
{1}, 
{2}, 
{4}。
<style=Attenuated>此加成不可叠加。</style>","每<style=KeyWord>擊中</style>{0}個敵人，下一次使用<style=""Skill"">技能</style>時獲得效果：
{1}, 
{2}, 
{4}。
<style=Attenuated>此加成不可疊加。</style>","{0}体のエネミーに<style=KeyWord>攻撃</style>する毎に、次の<style=""Skill"">スキル</style>は以下の効果を得る:
{1}, 
{2}, 
{4}。
<style=ATTenuated>この効果は重複しない。</style>","За <style=KeyWord>попадания</style> по {0} врагам следующий <style=""Skill"">навык</style> получает:
{1}, 
{2}, 
{4}.
<style=Attenuated>Эффект не накапливается.</style>","За кожних {0} ворогів, яким завдано <style=KeyWord>удар</style>, наступне <style=""Skill"">вміння</style> отримає:
{1}, 
{2}, 
{4}.
<style=Attenuated>Цей модифікатор не поєднується.</style>","Jeder {0} <style=KeyWord>getroffene</style> Gegner, gibt dem nächsten Angriff:
{1}, 
{2}, 
{4}.
<style=Attenuated>Dieser Modifikator ist nicht stapelbar.</style>","Cada {0} enemigos <style=KeyWord>golpeados</style>, la siguiente <style=""Skill"">habilidad</style> obtiene:
{1}, 
{2}, 
{4}.
<style=Attenuated>Este modificador no es acumulable.</style>","A cada {0} inimigos <style=KeyWord>golpeados</style>, a próxima <style=""Skill"">habilidade</style> recebe:
{1}, 
{2}, 
{4}.
<style=Attenuated>Este modificador não acumula.</style>","적 {0}명에 <style=KeyWord>명중</style>할 때마다 다음 <style=""Skill"">스킬</style>에 적용:
{1}, 
{2}, 
{4}.
<style=Attenuated>해당 보정치는 중첩되지 않음</style>"
PerkDescription_GlassCannon,"{0}. 
{2}.
{1} <style=PerkDamage>Perk Damage</style>.","{0}. 
{2}.
{1} de <style=PerkDamage>Dégâts de talent</style>.","{0}。
{2}。
{1}<style=PerkDamage>天赋伤害</style>","{0}。
{2}。
{1}<style=PerkDamage>天賽傷害</style>","{0}。
{2}。
{1}<style=PerkDamage>パークダメージ</style>。","{0}. 
{2}.
{1} <style=PerkDamage>Урона от перка</style>.","{0}. 
{2}.
{1} <style=PerkDamage>Шкоди від перка</style>.","{0}. 
{2}.
{1} <style=PerkDamage>Perk-Schaden</style>.","{0}. 
{2}.
{1} de <style=PerkDamage>Daño de beneficio</style>.","{0}. 
{2}.
{1} de <style=PerkDamage>Dano de Vantagem</style>.","{0}。
{2}。
{1} <style=PerkDamage>특전 피해</style>"
